evaluation,label
用了一段时间，感觉还不错，可以,正面
电视非常好，已经是家里的第二台了。第一天下单，第二天就到本地了，可是物流的人说车坏了，一直催，客服也帮着催，到第三天下午5点才送过来。父母年纪大了，买个大电视画面清晰，趁着耳朵还好使，享受几年。,正面
电视比想象中的大好多，画面也很清晰，系统很智能，更多功能还在摸索中,正面
不错,正面
用了这么多天了，感觉还不错。夏普的牌子还是比较可靠。希望以后比较耐用，现在是考量质量的时候。,正面
物流速度很快，非常棒，今天就看了电视，非常清晰，非常流畅，一次非常完美的购物体验,正面
非常好，客服还特意打电话做回访,正面
物流小哥不错，辛苦了，东西还没用,正面
送货速度快，质量有保障，活动价格挺好的。希望用的久，不出问题。,正面
非常漂亮，也非常清晰，反应速度也快。,正面
很不错家里都喜欢。。。一次买了三台,正面
送货非常快！质量非常好，这次购物非常愉快！！,正面
58好大……都不错。看质量咯,正面
物流很快，物有所值，值得信赖。依旧会关顾！谢谢商家！,正面
这价钱超值，收到货马上装上看了一下。很清晰式样也蛮好！赞赞……,正面
目前感受还不错,正面
速度快、服务态度很好,正面
挺好的，物流也快，两天就到了,正面
发货速度快,正面
送货很快，安装服务也很好,正面
质量很好，物流服务到位,正面
看4k这款确实比普通屏好很多，感觉比较明显，价格的话双12搞活动比较给力，就是百视通的资源与腾讯视频比还是有点差距，客户自己装一个！,正面
便宜，能用，这个价格可以。,正面
给我妈买的，妈妈很开心说很好，说快递小哥态度很好。给好评。,正面
性价比极高的一款电视机，值得 拥有,正面
买了才五天就降价了，我还是预约抢购的等到了夜里十二点过后。那还要抢购什么?找客服根本没反应。直接不理你。,负面
电视颜色偏暗，手机上能看清楚的视频到电视上黑成不行，用了半个月死了两次机，整体外观勉强，前年买了一个tcl的金色的比这个好多了价格差不多，电视自己提供的如学堂tv、zaker新闻会卡机，应用更新不行，属于有了前期后期跟不上系列，但是遥控器很喜欢，按键声音也喜欢喇叭也够大，真的亮度很鸡肋,负面
老人表示色彩不好，而且系统有限制，下载软件只有那么几个,负面
网络电视沒有浏览器，手机安装应用功能不能连接。强迫用户安装机顶盒。客服态度不错。买了个气人的商品。望其它用户慎买。,负面
听同事的推荐买了微鲸电视，他半年前买的另一款42吋的，但现在涨价1000，我就买了便宜的这一款，比他的42吋的还要贵。 便宜，画面不错，送会员，不过感觉资源不够新。。京东的快递真是让人惊叹，次日达不错。 不用额外的机顶盒就能看网络电视。 需要吐槽的是1.支架好单薄啊，就细细的两根塑料，对照海信的支架，我比较担心。2.插座竟然是两相的，线非常细，好的，你开心就好。3.开机时间太长了，我洗个大苹果，吃完了，开机画面还在让我耐心等待。 才买了两天，我过段时间再来。,负面
电视真厚啊，后面质感太次了，遥控器后盖怎么怪怪的，缺一个甲，怎么回事？都这样吗？系统没有乐视好。,负面
电视也就一般没有说的那么神奇！客服妹妹态度不好半天没人应答！微鲸热线是没人接电话吗？打了半个小时没人接电话～！还好大的那台没买微鲸 不然会被气死～！物流人员态度也不是很好,负面
东西不错，送快递的不行，我自己拿上来的，过了好几天了，才评价，6，18估计还要便宜，算了不等了,负面
快递员服务不是很理想,负面
好慢得物流啊！相信现代得微鲸产品,负面
不好意思，才来评价，电视不错，就是选的小了点，应该选40的，现在看着很不错，就是挂架贵了点，169安装的还不能调节角度，有点小失望。,负面
电视很满意，安装差了一点，安装师傅只说会有划痕，没想到会这么严重，墙体颜色不太好补，对于有强迫症的老公来说，已经抓狂了，不过还是给个正常评价吧，希望电视能够不让人失望,负面
挂墙加价可以理解。过来装机还收100块。完全没有售后可言。买得窝气。,负面
垃圾产品，安装座装还要收费用，其他牌子都不用,负面
最垃圾的电视，无线网络经常链接不上，我家网络完全正常，其他电视或者手机电脑的wifi无线链接一直正常，售后垃圾，安装师傅软件安装一半承诺第二天来继续安装，之后就没来了，客服售后的解决是 ：也没办法联系他们当地这些零零碎碎工程师,负面
不习惯给差评的我忍不住要评价这个电视，这个电视真的不咋滴，很卡（卡到你怀疑人生），而且连接无线网经常掉线！清晰度也跟不上，真心不推荐！,负面
电视也就一般没有说的那么神奇！客服妹妹态度不好半天没人应答！微鲸热线是没人接电话吗？打了半个小时没人接电话～！还好大的那台没买微鲸 不然会被气死～！物流人员态度也不是很好,负面
电视质量不知道，反正没给我送货入户，客服也没人理,负面
买了才五天就降价了，我还是预约抢购的等到了夜里十二点过后。那还要抢购什么?找客服根本没反应。直接不理你。,负面
买之前就看到很多评论说屏幕不行，但是价格便宜，性价比比较高，所以就买了这款。收到货后确实屏幕是不怎么样，屏幕很暗，不艳丽。陆壹捌前几天买的壹壹玖捌元，问了客服陆壹捌会不会有活动，说价了，而且保价三十天。到陆壹捌就又降了壹佰原，问客服价格保护，好多天了也没个音讯。京东客服确实不行，回复慢不说，还经常不回复你，不如猫天上的好，随时在线。,负面
一般，差强人意，还弄了点不愉快，投诉了好久才解决,负面
屏幕拐角明显暗，图像不到边。工程师上门尽然说没问题！退货还要收100元的开箱费，帮别人买的，只有凑合看吧！垃圾！垃圾！,负面
一分都不想给，京东这次让我太失望了，买的电视没有声音，说是退货上门取件，规定好的时间不去，一直拖着，联系客服，客服也不回应，千万不要相信京东自营，说的特别好，做起事来，你就知道了，这次真是太失望了！,负面
新电视买回家不到十多天，底座支架因质量问题断裂，电视从桌子上摔坏，打售后电话，人员一直推脱不上门鉴定处理。现在只能给差评，就看微鲸公司处理的结果了。希望微鲸公司能直面问题，敢于担当，给出大家能接受的处理意见。,负面
一般般。这个价位也不会抱太多的期望。比某某TV还是好很多。,负面
